Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2009/4/7,0.03496,0.17224,0.79276,-0.307172,-0.06876,-0.00632,0.07496,-0.10684
2009/4/8,0.06128,0.1458,0.79296,-0.159068,0.02632,-0.02644,0.0002,0.148104
2009/4/9,0.03592,0.19292,0.77116,-0.329988,-0.02536,0.04712,-0.0218,-0.17092
2009/4/13,0.03952,0.17812,0.7824,-0.257236,0.0036,-0.0148,0.01124,0.072752
2009/4/14,0.03808,0.13724,0.82468,-0.232932,-0.00144,-0.04088,0.04228,0.024304
2009/4/15,0.07624,0.16652,0.75716,-0.238848,0.03816,0.02928,-0.06752,-0.005916
2009/4/16,0.04972,0.2368,0.71352,-0.348668,-0.02652,0.07028,-0.04364,-0.10982
2009/4/17,0.10072,0.24256,0.65672,-0.275972,0.051,0.00576,-0.0568,0.072696
2009/4/20,0.06372,0.1898,0.74652,-0.285584,-0.037,-0.05276,0.0898,-0.009612
2009/4/21,0.10084,0.15356,0.74556,-0.154384,0.03712,-0.03624,-0.00096,0.1312
2009/4/22,0.04888,0.15736,0.79376,-0.189872,-0.05196,0.0038,0.0482,-0.035488
2009/4/23,0.07532,0.16244,0.76232,-0.1459,0.02644,0.00508,-0.03144,0.043972
2009/4/24,0.0724,0.18012,0.74748,-0.179864,-0.00292,0.01768,-0.01484,-0.033964
2009/4/27,0.06184,0.141,0.79716,-0.14538,-0.01056,-0.03912,0.04968,0.034484
2009/4/28,0.05292,0.2134,0.73372,-0.25378,-0.00892,0.0724,-0.06344,-0.1084
2009/4/29,0.04852,0.1226,0.82888,-0.155056,-0.0044,-0.0908,0.09516,0.098724
2009/4/30,0.04184,0.2194,0.73872,-0.349876,-0.00668,0.0968,-0.09016,-0.19482
2009/5/1,0.05848,0.16952,0.772,-0.272452,0.01664,-0.04988,0.03328,0.077424
2009/5/4,0.06432,0.1586,0.77712,-0.196668,0.00584,-0.01092,0.00512,0.075784
2009/5/5,0.06116,0.23392,0.70492,-0.328756,-0.00316,0.07532,-0.0722,-0.132088
2009/5/6,0.08164,0.20776,0.71056,-0.254228,0.02048,-0.02616,0.00564,0.074528
2009/5/7,0.04508,0.14504,0.80988,-0.15404,-0.03656,-0.06272,0.09932,0.100188
2009/5/8,0.06612,0.17852,0.75548,-0.253424,0.02104,0.03348,-0.0544,-0.099384
2009/5/11,0.0662,0.1762,0.75764,-0.229136,8.00E-05,-0.00232,0.00216,0.024288
2009/5/12,0.0614,0.18024,0.7584,-0.223408,-0.0048,0.00404,0.00076,0.005728
2009/5/13,0.09452,0.16536,0.74016,-0.1507,0.03312,-0.01488,-0.01824,0.072708
2009/5/14,0.05692,0.2376,0.70552,-0.359872,-0.0376,0.07224,-0.03464,-0.209172
2009/5/15,0.09568,0.12052,0.7838,-0.035564,0.03876,-0.11708,0.07828,0.324308
2009/5/18,0.05172,0.18004,0.76828,-0.21758,-0.04396,0.05952,-0.01552,-0.182016
2009/5/19,0.08764,0.1396,0.77288,-0.129796,0.03592,-0.04044,0.0046,0.087784
2009/5/20,0.02572,0.22596,0.74836,-0.46712,-0.06192,0.08636,-0.02452,-0.337324
2009/5/21,0.0364,0.20328,0.76024,-0.2905,0.01068,-0.02268,0.01188,0.17662
2009/5/22,0.08096,0.24024,0.6788,-0.30232,0.04456,0.03696,-0.08144,-0.01182
2009/5/26,0.05812,0.13188,0.81,-0.146684,-0.02284,-0.10836,0.1312,0.155636
2009/5/27,0.05952,0.17704,0.7634,-0.202444,0.0014,0.04516,-0.0466,-0.05576
2009/5/28,0.08792,0.17192,0.7402,-0.150204,0.0284,-0.00512,-0.0232,0.05224
2009/5/29,0.05732,0.14336,0.79936,-0.190752,-0.0306,-0.02856,0.05916,-0.040548
2009/6/1,0.06652,0.1494,0.78404,-0.16226,0.0092,0.00604,-0.01532,0.028492
2009/6/2,0.06112,0.09928,0.83956,-0.119944,-0.0054,-0.05012,0.05552,0.042316
2009/6/3,0.0494,0.15296,0.79764,-0.208352,-0.01172,0.05368,-0.04192,-0.088408
2009/6/4,0.07432,0.11812,0.8076,-0.07548,0.02492,-0.03484,0.00996,0.132872
2009/6/5,0.08756,0.0764,0.83608,0.017396,0.01324,-0.04172,0.02848,0.092876
2009/6/8,0.08556,0.16912,0.74536,-0.166384,-0.002,0.09272,-0.09072,-0.18378
