Date,pos,neg,neutral,compound
2009/5/14,0.042545,0.27593,0.68153,-0.44112
2009/5/15,0.069764,0.10013,0.83011,0.047824
2009/5/18,0.0696,0.13416,0.79624,0.011713
2009/5/19,0.034727,0.14878,0.81649,-0.23341
2009/5/20,0.034909,0.29736,0.66791,-0.57908
2009/5/21,0.038436,0.16535,0.79622,-0.28645
2009/5/22,0.10389,0.27427,0.62184,-0.2256
2009/5/26,0.048182,0.0976,0.85422,-0.11957
2009/5/27,0.062491,0.19865,0.73878,-0.3143
2009/5/28,0.048055,0.058927,0.89304,-0.018596
2009/5/29,0.085836,0.17893,0.73524,-0.22536
2009/6/1,0.056709,0.13627,0.80702,-0.2245
2009/6/2,0.062545,0.037127,0.9002,-0.022035
2009/6/3,0,0.073727,0.92627,-0.12485
2009/6/4,0.030127,0.14685,0.82302,-0.18159
2009/6/5,0.1308,0.11638,0.75282,-0.0069927
2009/6/8,0.14604,0.149,0.70496,-0.053942
2009/6/9,0.083655,0.19107,0.72527,-0.24637
2009/6/10,0.074891,0.14898,0.77613,-0.32322
2009/6/11,0.10627,0.17195,0.72155,-0.24164
2009/6/12,0.091164,0.13518,0.77365,-0.018687
2009/6/15,0.018145,0.24496,0.73689,-0.35055
2009/6/16,0.0446,0.1416,0.8138,-0.18523
2009/6/17,0.064309,0.1828,0.75289,-0.46092
2009/6/18,0.061855,0.1914,0.74687,-0.49311
2009/6/19,0.043891,0.18364,0.77247,-0.38436
2009/6/22,0.12376,0.10502,0.77111,-0.0079127
2009/6/23,0.047327,0.25509,0.69767,-0.51034
2009/6/24,0.077073,0.22945,0.69335,-0.32029
2009/6/25,0.15167,0.17456,0.67376,-0.0079855
2009/6/26,0.010291,0.12984,0.85987,-0.16029
2009/6/29,0.0083818,0.090764,0.90085,-0.1689
2009/6/30,0.1448,0.17625,0.67905,-0.037125
2009/7/1,0.18005,0.068582,0.75136,0.0047473
2009/7/2,0.051818,0.17891,0.76944,-0.20554
2009/7/6,0.015164,0.29125,0.69358,-0.45554
2009/7/7,0.0518,0.15713,0.79135,-0.21545
2009/7/8,0.042927,0.26847,0.68845,-0.51746
2009/7/9,0.0252,0.12207,0.85273,-0.30488
2009/7/10,0.052873,0.31929,0.62798,-0.49323
2009/7/13,0.049255,0.23655,0.71407,-0.39864
2009/7/14,0.016309,0.39669,0.587,-0.72376
2009/7/15,0.053655,0.25662,0.68953,-0.41195
2009/7/16,0.070455,0.12582,0.80375,-0.2688
2009/7/17,0.070109,0.20611,0.72384,-0.36411
2009/7/20,0.098182,0.23375,0.66789,-0.27532
2009/7/21,0.019491,0.13293,0.84758,-0.24157
2009/7/22,0.063855,0.24822,0.68793,-0.26688
2009/7/23,0.075764,0.1982,0.72604,-0.23334
2009/7/24,0.071291,0.18736,0.74135,-0.24039
2009/7/27,0.033455,0.21435,0.75218,-0.54844
2009/7/28,0.089309,0.19285,0.71796,-0.38308
2009/7/29,0.045873,0.15105,0.80307,-0.36565
2009/7/30,0.041491,0.25444,0.70425,-0.54162
2009/7/31,0.0932,0.11533,0.79147,-0.25889
2009/8/3,0.042218,0.083055,0.87473,-0.10211
2009/8/4,0.060145,0.18905,0.7508,-0.31925
2009/8/5,0.020236,0.15753,0.82224,-0.38959
2009/8/6,0.059927,0.15004,0.79,-0.26178
2009/8/7,0.030436,0.21095,0.75862,-0.418
2009/8/10,0.078091,0.19422,0.72762,-0.28853
2009/8/11,0.081018,0.16276,0.75622,-0.20935
2009/8/12,0.072382,0.15433,0.77322,-0.19907
2009/8/13,0.078855,0.12787,0.79335,-0.22674
2009/8/14,0.044945,0.11087,0.84418,-0.13624
2009/8/17,0.037836,0.11045,0.85171,-0.29149
2009/8/18,0.0094,0.0934,0.89724,-0.29915
2009/8/19,0.060218,0.12418,0.81573,-0.18337
2009/8/20,0.15405,0.051527,0.79438,0.081231
2009/8/21,0.074855,0.21315,0.71191,-0.4936
2009/8/24,0.019455,0.18045,0.80013,-0.39669
2009/8/25,0.040927,0.25773,0.70144,-0.39734
2009/8/26,0.091909,0.14371,0.76438,-0.12911
2009/8/27,0.082091,0.2028,0.71516,-0.3022
2009/8/28,0.064364,0.17213,0.76318,-0.20022
2009/8/31,0.077709,0.11675,0.80562,-0.27262
2009/9/1,0.0091273,0.14271,0.84816,-0.40018
2009/9/2,0.072182,0.21345,0.7144,-0.38125
2009/9/3,0.0754,0.11982,0.80478,-0.069995
